Tournament 1
GrimTriggerPlayer: 762.65045 points.
SinghAishwaryaPlayer: 761.1073 points.
TolerantPlayer: 750.41486 points.
GradualPlayer: 746.72797 points.
CombinedPlayer: 746.0155 points.
FirmButFairPlayer: 736.88916 points.
T4TPlayer: 736.4246 points.
ImprovedPlayer: 735.1098 points.
TitForTatPlayer2: 733.6206 points.
NicePlayer: 696.6952 points.
SoftGrudgerPlayer: 659.3761 points.
FreakyPlayer: 637.47577 points.
HardMajorityPlayer: 572.10394 points.
NastyPlayer: 567.5286 points.
RandomPlayer: 528.5725 points.
ReverseT4TPlayer: 496.6406 points.

Tournament 2
CombinedPlayer: 764.47095 points.
GrimTriggerPlayer: 761.42834 points.
TolerantPlayer: 750.7072 points.
FirmButFairPlayer: 748.7159 points.
GradualPlayer: 748.1855 points.
SinghAishwaryaPlayer: 747.342 points.
T4TPlayer: 738.0002 points.
TitForTatPlayer2: 733.9816 points.
ImprovedPlayer: 733.49646 points.
NicePlayer: 668.74084 points.
SoftGrudgerPlayer: 667.9044 points.
FreakyPlayer: 633.28564 points.
NastyPlayer: 565.5589 points.
HardMajorityPlayer: 561.9955 points.
RandomPlayer: 557.2273 points.
ReverseT4TPlayer: 490.17365 points.

Tournament 3
GradualPlayer: 758.05396 points.
TolerantPlayer: 754.8336 points.
GrimTriggerPlayer: 743.8924 points.
FirmButFairPlayer: 741.6 points.
SinghAishwaryaPlayer: 739.69366 points.
CombinedPlayer: 738.6926 points.
ImprovedPlayer: 733.7819 points.
T4TPlayer: 731.1847 points.
TitForTatPlayer2: 711.8676 points.
NicePlayer: 665.74976 points.
SoftGrudgerPlayer: 662.4648 points.
FreakyPlayer: 629.06195 points.
HardMajorityPlayer: 566.6467 points.
NastyPlayer: 548.21594 points.
RandomPlayer: 536.12286 points.
ReverseT4TPlayer: 486.88205 points.

Tournament 4
GrimTriggerPlayer: 754.8083 points.
FirmButFairPlayer: 754.38477 points.
TolerantPlayer: 752.1092 points.
GradualPlayer: 750.0336 points.
SinghAishwaryaPlayer: 747.17084 points.
CombinedPlayer: 740.805 points.
TitForTatPlayer2: 728.50684 points.
T4TPlayer: 724.59 points.
ImprovedPlayer: 724.27264 points.
SoftGrudgerPlayer: 670.1082 points.
NicePlayer: 669.32166 points.
FreakyPlayer: 639.4223 points.
HardMajorityPlayer: 574.2684 points.
NastyPlayer: 570.9764 points.
RandomPlayer: 541.33966 points.
ReverseT4TPlayer: 486.56528 points.

Tournament 5
GrimTriggerPlayer: 760.26526 points.
CombinedPlayer: 758.0019 points.
SinghAishwaryaPlayer: 750.1823 points.
GradualPlayer: 742.72516 points.
FirmButFairPlayer: 739.9123 points.
TolerantPlayer: 736.3268 points.
T4TPlayer: 730.0498 points.
TitForTatPlayer2: 723.14545 points.
ImprovedPlayer: 720.56433 points.
SoftGrudgerPlayer: 668.4057 points.
NicePlayer: 652.72205 points.
FreakyPlayer: 598.3918 points.
HardMajorityPlayer: 577.1916 points.
NastyPlayer: 575.1597 points.
RandomPlayer: 530.6034 points.
ReverseT4TPlayer: 508.95844 points.

Tournament 6
TolerantPlayer: 754.30286 points.
CombinedPlayer: 751.5558 points.
GrimTriggerPlayer: 742.4598 points.
FirmButFairPlayer: 740.53516 points.
GradualPlayer: 737.5671 points.
TitForTatPlayer2: 733.57227 points.
SinghAishwaryaPlayer: 731.51447 points.
ImprovedPlayer: 729.99335 points.
T4TPlayer: 717.15247 points.
NicePlayer: 682.93616 points.
SoftGrudgerPlayer: 670.40186 points.
FreakyPlayer: 592.33026 points.
NastyPlayer: 568.3117 points.
HardMajorityPlayer: 566.21027 points.
RandomPlayer: 530.929 points.
