Tournament 1
BestPlayer: 865.3855 points.
SinghAishwaryaPlayer: 857.2321 points.
CombinedPlayer: 845.2932 points.
GrimTriggerPlayer: 843.8234 points.
TolerantPlayer: 841.1556 points.
GradualPlayer: 837.6109 points.
FirmButFairPlayer: 833.74567 points.
T4TPlayer: 822.54926 points.
TitForTatPlayer2: 818.46375 points.
ImprovedPlayer: 804.52313 points.
NicePlayer: 764.53174 points.
SoftGrudgerPlayer: 753.2867 points.
FreakyPlayer: 662.3423 points.
HardMajorityPlayer: 621.37384 points.
NastyPlayer: 621.36816 points.
RandomPlayer: 572.1963 points.
ReverseT4TPlayer: 524.38245 points.

Tournament 2
BestPlayer: 859.9948 points.
T4TPlayer: 845.6121 points.
SinghAishwaryaPlayer: 845.52045 points.
GradualPlayer: 842.65765 points.
TolerantPlayer: 841.8784 points.
CombinedPlayer: 837.5953 points.
FirmButFairPlayer: 833.2213 points.
GrimTriggerPlayer: 833.1493 points.
ImprovedPlayer: 830.8667 points.
TitForTatPlayer2: 822.22046 points.
SoftGrudgerPlayer: 766.0491 points.
NicePlayer: 751.6836 points.
FreakyPlayer: 688.98474 points.
HardMajorityPlayer: 638.7681 points.
NastyPlayer: 604.33685 points.
RandomPlayer: 591.7998 points.
ReverseT4TPlayer: 530.9227 points.

Tournament 3
FirmButFairPlayer: 849.9514 points.
TolerantPlayer: 843.6225 points.
CombinedPlayer: 841.53217 points.
BestPlayer: 840.88574 points.
GradualPlayer: 838.7652 points.
SinghAishwaryaPlayer: 826.0225 points.
T4TPlayer: 825.7226 points.
GrimTriggerPlayer: 823.8296 points.
TitForTatPlayer2: 820.58215 points.
ImprovedPlayer: 801.0146 points.
NicePlayer: 756.6236 points.
SoftGrudgerPlayer: 747.278 points.
FreakyPlayer: 652.799 points.
HardMajorityPlayer: 612.519 points.
NastyPlayer: 609.4861 points.
RandomPlayer: 585.04504 points.
ReverseT4TPlayer: 537.57715 points.

Tournament 4
BestPlayer: 854.4391 points.
TolerantPlayer: 846.10095 points.
GradualPlayer: 841.5915 points.
CombinedPlayer: 837.7688 points.
FirmButFairPlayer: 836.74744 points.
GrimTriggerPlayer: 834.12573 points.
SinghAishwaryaPlayer: 831.13324 points.
TitForTatPlayer2: 822.203 points.
T4TPlayer: 806.9029 points.
ImprovedPlayer: 802.70605 points.
NicePlayer: 755.5245 points.
SoftGrudgerPlayer: 750.46075 points.
FreakyPlayer: 647.9126 points.
HardMajorityPlayer: 609.86847 points.
NastyPlayer: 601.18823 points.
RandomPlayer: 558.9504 points.
ReverseT4TPlayer: 523.6265 points.

Tournament 5
GrimTriggerPlayer: 858.9025 points.
BestPlayer: 851.57513 points.
CombinedPlayer: 840.3425 points.
SinghAishwaryaPlayer: 838.9379 points.
FirmButFairPlayer: 838.2464 points.
GradualPlayer: 837.06744 points.
TolerantPlayer: 835.02997 points.
T4TPlayer: 827.3256 points.
TitForTatPlayer2: 819.5729 points.
ImprovedPlayer: 802.8082 points.
NicePlayer: 767.6237 points.
SoftGrudgerPlayer: 750.42523 points.
FreakyPlayer: 682.998 points.
HardMajorityPlayer: 615.0972 points.
NastyPlayer: 612.8582 points.
RandomPlayer: 566.5834 points.
ReverseT4TPlayer: 522.25635 points.

Tournament 6
FirmButFairPlayer: 858.2841 points.
GrimTriggerPlayer: 852.88684 points.
BestPlayer: 849.75586 points.
GradualPlayer: 844.4422 points.
TolerantPlayer: 841.5251 points.
T4TPlayer: 836.4288 points.
SinghAishwaryaPlayer: 830.8502 points.
TitForTatPlayer2: 828.2733 points.
CombinedPlayer: 825.76843 points.
ImprovedPlayer: 811.77997 points.
SoftGrudgerPlayer: 762.6546 points.
NicePlayer: 761.61346 points.
FreakyPlayer: 687.1493 points.
NastyPlayer: 631.47864 points.
HardMajorityPlayer: 617.6574 points.
RandomPlayer: 566.72174 points.
ReverseT4TPlayer: 513.52057 points.

Tournament 7
BestPlayer: 866.9893 points.
TolerantPlayer: 851.10394 points.
GradualPlayer: 850.0803 points.
CombinedPlayer: 847.5799 points.
SinghAishwaryaPlayer: 841.88214 points.
FirmButFairPlayer: 841.4511 points.
GrimTriggerPlayer: 837.29596 points.
T4TPlayer: 831.9879 points.
TitForTatPlayer2: 824.30817 points.
ImprovedPlayer: 811.4921 points.
SoftGrudgerPlayer: 754.6053 points.
NicePlayer: 746.81256 points.
FreakyPlayer: 693.14545 points.
HardMajorityPlayer: 624.3442 points.
NastyPlayer: 601.5022 points.
RandomPlayer: 591.2065 points.
ReverseT4TPlayer: 526.42035 points.

Tournament 8
BestPlayer: 866.1597 points.
GrimTriggerPlayer: 858.4242 points.
TolerantPlayer: 842.01227 points.
CombinedPlayer: 840.8409 points.
FirmButFairPlayer: 840.6154 points.
SinghAishwaryaPlayer: 839.9904 points.
GradualPlayer: 839.64 points.
T4TPlayer: 830.9858 points.
ImprovedPlayer: 829.90894 points.
TitForTatPlayer2: 822.2927 points.
NicePlayer: 762.35364 points.
SoftGrudgerPlayer: 741.16437 points.
FreakyPlayer: 713.5611 points.
HardMajorityPlayer: 630.71765 points.
NastyPlayer: 616.60864 points.
RandomPlayer: 582.631 points.
ReverseT4TPlayer: 519.7325 points.

Tournament 9
BestPlayer: 854.84564 points.
CombinedPlayer: 852.77277 points.
SinghAishwaryaPlayer: 847.9198 points.
ImprovedPlayer: 844.3604 points.
TolerantPlayer: 841.9795 points.
FirmButFairPlayer: 840.28644 points.
GrimTriggerPlayer: 836.1167 points.
GradualPlayer: 829.3737 points.
T4TPlayer: 818.2533 points.
TitForTatPlayer2: 809.07 points.
SoftGrudgerPlayer: 759.68207 points.
NicePlayer: 749.5405 points.
FreakyPlayer: 661.35114 points.
HardMajorityPlayer: 621.9129 points.
NastyPlayer: 617.55225 points.
RandomPlayer: 583.0165 points.
ReverseT4TPlayer: 531.61304 points.

Tournament 10
BestPlayer: 863.7163 points.
GradualPlayer: 848.3945 points.
GrimTriggerPlayer: 847.80884 points.
CombinedPlayer: 845.03937 points.
TolerantPlayer: 840.4408 points.
FirmButFairPlayer: 839.9405 points.
SinghAishwaryaPlayer: 833.13745 points.
T4TPlayer: 821.4084 points.
ImprovedPlayer: 820.28625 points.
TitForTatPlayer2: 814.39716 points.
NicePlayer: 770.70526 points.
SoftGrudgerPlayer: 750.31506 points.
FreakyPlayer: 698.5414 points.
HardMajorityPlayer: 616.40173 points.
NastyPlayer: 615.2528 points.
RandomPlayer: 587.55853 points.
ReverseT4TPlayer: 508.86853 points.

Tournament 11
BestPlayer: 858.24603 points.
TolerantPlayer: 854.65515 points.
GrimTriggerPlayer: 854.02356 points.
FirmButFairPlayer: 850.5508 points.
CombinedPlayer: 845.90643 points.
SinghAishwaryaPlayer: 844.2007 points.
TitForTatPlayer2: 828.66656 points.
GradualPlayer: 826.19244 points.
T4TPlayer: 816.75665 points.
ImprovedPlayer: 805.98627 points.
NicePlayer: 759.3489 points.
SoftGrudgerPlayer: 752.7658 points.
FreakyPlayer: 706.1574 points.
HardMajorityPlayer: 627.5453 points.
NastyPlayer: 617.7025 points.
RandomPlayer: 572.8748 points.
ReverseT4TPlayer: 528.2237 points.

Tournament 12
BestPlayer: 858.83356 points.
TolerantPlayer: 856.6595 points.
GradualPlayer: 853.6302 points.
T4TPlayer: 846.2015 points.
