Tournament 1
FirmButFairPlayer: 365.66068 points.
GradualPlayer: 354.0187 points.
GrimTriggerPlayer: 348.09784 points.
T4TPlayer: 336.59534 points.
TolerantPlayer: 333.01447 points.
NicePlayer: 286.44016 points.
HardMajorityPlayer: 285.86884 points.
NastyPlayer: 279.6669 points.
FreakyPlayer: 271.8975 points.
ReverseT4TPlayer: 245.74214 points.
RandomPlayer: 235.21608 points.

Tournament 2
FirmButFairPlayer: 353.17145 points.
GradualPlayer: 347.50836 points.
T4TPlayer: 340.72705 points.
GrimTriggerPlayer: 339.59042 points.
TolerantPlayer: 337.71066 points.
NastyPlayer: 291.08267 points.
HardMajorityPlayer: 289.77423 points.
NicePlayer: 285.44327 points.
FreakyPlayer: 262.5705 points.
RandomPlayer: 258.59412 points.
ReverseT4TPlayer: 232.29863 points.

Tournament 3
GradualPlayer: 353.57462 points.
FirmButFairPlayer: 347.93488 points.
GrimTriggerPlayer: 347.89044 points.
TolerantPlayer: 342.47723 points.
T4TPlayer: 323.0819 points.
HardMajorityPlayer: 287.04614 points.
NastyPlayer: 277.62527 points.
NicePlayer: 270.87698 points.
FreakyPlayer: 263.20013 points.
RandomPlayer: 244.73215 points.
ReverseT4TPlayer: 233.29187 points.

Tournament 4
FirmButFairPlayer: 352.05542 points.
GradualPlayer: 352.01196 points.
GrimTriggerPlayer: 346.06708 points.
TolerantPlayer: 331.54294 points.
T4TPlayer: 321.70905 points.
HardMajorityPlayer: 293.54007 points.
NastyPlayer: 292.45963 points.
NicePlayer: 276.14713 points.
FreakyPlayer: 264.78183 points.
RandomPlayer: 253.44373 points.
ReverseT4TPlayer: 231.97404 points.

Tournament 5
GrimTriggerPlayer: 364.3175 points.
FirmButFairPlayer: 352.92776 points.
GradualPlayer: 351.58548 points.
TolerantPlayer: 338.92343 points.
T4TPlayer: 332.51382 points.
FreakyPlayer: 289.07785 points.
NastyPlayer: 282.54837 points.
HardMajorityPlayer: 281.9292 points.
NicePlayer: 267.37207 points.
RandomPlayer: 253.28917 points.
ReverseT4TPlayer: 227.68997 points.

Tournament 6
FirmButFairPlayer: 359.86447 points.
GrimTriggerPlayer: 354.2716 points.
GradualPlayer: 344.73456 points.
T4TPlayer: 340.17484 points.
TolerantPlayer: 334.23917 points.
NastyPlayer: 291.5427 points.
NicePlayer: 291.0081 points.
HardMajorityPlayer: 284.3763 points.
FreakyPlayer: 282.702 points.
RandomPlayer: 235.9233 points.
ReverseT4TPlayer: 229.52824 points.

Tournament 7
GrimTriggerPlayer: 352.6627 points.
FirmButFairPlayer: 351.9116 points.
T4TPlayer: 346.2718 points.
GradualPlayer: 341.0493 points.
TolerantPlayer: 332.0799 points.
NastyPlayer: 283.4078 points.
HardMajorityPlayer: 272.37927 points.
FreakyPlayer: 272.18018 points.
NicePlayer: 271.87958 points.
RandomPlayer: 245.18285 points.
ReverseT4TPlayer: 223.90297 points.

Tournament 8
GrimTriggerPlayer: 352.50583 points.
FirmButFairPlayer: 352.26126 points.
GradualPlayer: 349.14172 points.
TolerantPlayer: 334.5814 points.
T4TPlayer: 322.92175 points.
FreakyPlayer: 278.29767 points.
NastyPlayer: 276.29446 points.
HardMajorityPlayer: 275.0228 points.
NicePlayer: 272.16013 points.
RandomPlayer: 238.58452 points.
ReverseT4TPlayer: 222.7558 points.

Tournament 9
GradualPlayer: 351.39575 points.
FirmButFairPlayer: 348.62262 points.
GrimTriggerPlayer: 347.10498 points.
TolerantPlayer: 341.50818 points.
T4TPlayer: 326.39523 points.
NastyPlayer: 283.77402 points.
HardMajorityPlayer: 280.95584 points.
NicePlayer: 268.71802 points.
FreakyPlayer: 246.36674 points.
RandomPlayer: 244.05592 points.
ReverseT4TPlayer: 235.70264 points.

Tournament 10
GradualPlayer: 360.42548 points.
GrimTriggerPlayer: 349.30084 points.
FirmButFairPlayer: 348.93433 points.
T4TPlayer: 342.04657 points.
TolerantPlayer: 339.8394 points.
NastyPlayer: 292.25104 points.
HardMajorityPlayer: 282.41922 points.
FreakyPlayer: 279.84366 points.
NicePlayer: 270.0531 points.
RandomPlayer: 247.17668 points.
ReverseT4TPlayer: 225.29759 points.

Tournament 11
GradualPlayer: 350.9301 points.
FirmButFairPlayer: 348.18005 points.
GrimTriggerPlayer: 345.97028 points.
T4TPlayer: 345.96225 points.
TolerantPlayer: 337.0093 points.
FreakyPlayer: 299.58813 points.
NastyPlayer: 290.10486 points.
HardMajorityPlayer: 278.1328 points.
NicePlayer: 265.77313 points.
RandomPlayer: 241.99759 points.
ReverseT4TPlayer: 216.75519 points.

Tournament 12
GrimTriggerPlayer: 351.46677 points.
FirmButFairPlayer: 350.1197 points.
GradualPlayer: 346.4853 points.
T4TPlayer: 338.27356 points.
TolerantPlayer: 335.6065 points.
NastyPlayer: 287.3582 points.
HardMajorityPlayer: 281.39627 points.
NicePlayer: 277.76624 points.
FreakyPlayer: 251.28926 points.
RandomPlayer: 246.26747 points.
ReverseT4TPlayer: 232.33243 points.

Tournament 13
FirmButFairPlayer: 354.84247 points.
TolerantPlayer: 346.29996 points.
GrimTriggerPlayer: 345.95227 points.
GradualPlayer: 344.78687 points.
T4TPlayer: 331.1293 points.
NastyPlayer: 280.28958 points.
FreakyPlayer: 276.7785 points.
HardMajorityPlayer: 270.11246 points.
NicePlayer: 261.66574 points.
ReverseT4TPlayer: 232.68315 points.
RandomPlayer: 228.89275 points.

Tournament 14
GradualPlayer: 353.52823 points.
GrimTriggerPlayer: 350.7823 points.
FirmButFairPlayer: 344.69452 points.
TolerantPlayer: 337.16226 points.
T4TPlayer: 322.85214 points.
NastyPlayer: 283.5857 points.
HardMajorityPlayer: 282.7367 points.
FreakyPlayer: 280.32672 points.
NicePlayer: 277.09973 points.
RandomPlayer: 238.08698 points.
ReverseT4TPlayer: 222.00325 points.

Tournament 15
FirmButFairPlayer: 357.3338 points.
GradualPlayer: 351.68726 points.
GrimTriggerPlayer: 350.65833 points.
T4TPlayer: 344.97525 points.
TolerantPlayer: 338.89066 points.
FreakyPlayer: 289.5483 points.
HardMajorityPlayer: 287.9551 points.
NicePlayer: 275.23438 points.
NastyPlayer: 275.16928 points.
ReverseT4TPlayer: 238.7244 points.
RandomPlayer: 233.96155 points.

Tournament 16
GradualPlayer: 353.1287 points.
FirmButFairPlayer: 347.111 points.
GrimTriggerPlayer: 344.61642 points.
T4TPlayer: 336.8984 points.
TolerantPlayer: 324.98737 points.
HardMajorityPlayer: 278.20245 points.
NastyPlayer: 276.83875 points.
NicePlayer: 270.6037 points.
FreakyPlayer: 260.20847 points.
RandomPlayer: 259.62622 points.
ReverseT4TPlayer: 230.97298 points.

Tournament 17
GrimTriggerPlayer: 347.3759 points.
GradualPlayer: 347.34055 points.
FirmButFairPlayer: 336.9281 points.
TolerantPlayer: 335.5262 points.
T4TPlayer: 332.0526 points.
HardMajorityPlayer: 281.26547 points.
FreakyPlayer: 281.14267 points.
NastyPlayer: 273.89276 points.
NicePlayer: 269.66574 points.
RandomPlayer: 241.38739 points.
ReverseT4TPlayer: 222.78848 points.

Tournament 18
GradualPlayer: 350.87115 points.
GrimTriggerPlayer: 349.14786 points.
TolerantPlayer: 344.5983 points.
FirmButFairPlayer: 341.08823 points.
T4TPlayer: 331.57263 points.
NastyPlayer: 287.93423 points.
HardMajorityPlayer: 276.08176 points.
FreakyPlayer: 271.733 points.
NicePlayer: 271.57254 points.
RandomPlayer: 243.9267 points.
ReverseT4TPlayer: 219.92487 points.

Tournament 19
FirmButFairPlayer: 360.13803 points.
GradualPlayer: 353.0646 points.
GrimTriggerPlayer: 350.59253 points.
TolerantPlayer: 339.5543 points.
T4TPlayer: 338.21658 points.
NastyPlayer: 293.13684 points.
FreakyPlayer: 289.04706 points.
HardMajorityPlayer: 282.0046 points.
NicePlayer: 271.7135 points.
RandomPlayer: 241.33981 points.
ReverseT4TPlayer: 224.37068 points.

Tournament 20
GrimTriggerPlayer: 362.29974 points.
FirmButFairPlayer: 354.4363 points.
GradualPlayer: 344.46103 points.
TolerantPlayer: 342.22958 points.
T4TPlayer: 326.02448 points.
NastyPlayer: 293.27438 points.
HardMajorityPlayer: 282.03857 points.
FreakyPlayer: 281.87723 points.
NicePlayer: 276.97382 points.
RandomPlayer: 227.91707 points.
ReverseT4TPlayer: 224.46597 points.

Tournament 21
GrimTriggerPlayer: 362.33865 points.
FirmButFairPlayer: 352.27887 points.
GradualPlayer: 346.5336 points.
TolerantPlayer: 345.2048 points.
T4TPlayer: 334.47037 points.
HardMajorityPlayer: 294.1391 points.
FreakyPlayer: 290.82104 points.
NastyPlayer: 283.78052 points.
NicePlayer: 271.52866 points.
RandomPlayer: 245.84685 points.
ReverseT4TPlayer: 237.67049 points.

Tournament 22
FirmButFairPlayer: 357.80273 points.
GrimTriggerPlayer: 357.21103 points.
GradualPlayer: 351.16974 points.
TolerantPlayer: 346.67297 points.
T4TPlayer: 336.53854 points.
FreakyPlayer: 301.5286 points.
HardMajorityPlayer: 286.2676 points.
NastyPlayer: 282.31772 points.
NicePlayer: 279.15277 points.
RandomPlayer: 239.54169 points.
ReverseT4TPlayer: 212.7567 points.

Tournament 23
GradualPlayer: 359.32288 points.
GrimTriggerPlayer: 353.54892 points.
TolerantPlayer: 342.82477 points.
FirmButFairPlayer: 342.76797 points.
T4TPlayer: 329.22525 points.
HardMajorityPlayer: 285.02255 points.
NastyPlayer: 280.5635 points.
NicePlayer: 271.66733 points.
FreakyPlayer: 258.93927 points.
RandomPlayer: 240.88132 points.
ReverseT4TPlayer: 230.29732 points.

Tournament 24
FirmButFairPlayer: 363.35486 points.
GrimTriggerPlayer: 358.04956 points.
GradualPlayer: 352.18787 points.
TolerantPlayer: 345.47916 points.
T4TPlayer: 338.76486 points.
FreakyPlayer: 288.90112 points.
HardMajorityPlayer: 283.5298 points.
NastyPlayer: 279.62207 points.
NicePlayer: 279.33856 points.
RandomPlayer: 243.21219 points.
ReverseT4TPlayer: 216.94785 points.

Tournament 25
FirmButFairPlayer: 352.95975 points.
GrimTriggerPlayer: 346.21136 points.
T4TPlayer: 342.02838 points.
GradualPlayer: 340.5099 points.
TolerantPlayer: 334.10538 points.
NastyPlayer: 288.03207 points.
HardMajorityPlayer: 281.37668 points.
NicePlayer: 279.0955 points.
FreakyPlayer: 260.25323 points.
RandomPlayer: 241.1969 points.
ReverseT4TPlayer: 234.12543 points.
